IEVE  T1       T2       T3      W      XM212   XM223
  410     0.463     0.441     0.097 12337.005  8064.741   746.876
  411     0.367     0.147     0.486 12337.005   284.180  2660.482
  412     0.404     0.158     0.437 12337.005  1254.085  1915.015
  413     0.226     0.448     0.326 12337.005  3477.393  5486.348
  414     0.143     0.422     0.434 12337.005  1313.950  7131.923
  415     0.457     0.494     0.048 12337.005  9032.506   856.546
  416     0.169     0.392     0.439 12337.005  1217.513  6629.398
  417     0.339     0.444     0.218 12337.005  5644.929  3227.121
  418     0.054     0.454     0.492 12337.005   153.628  8920.694
  419     0.435     0.486     0.079 12337.005  8414.038  1305.048
  420     0.445     0.469     0.086 12337.005  8285.509  1091.407
  421     0.419     0.098     0.483 12337.005   338.545  1627.486
  422     0.157     0.370     0.473 12337.005   533.194  6868.466
  423     0.460     0.305     0.235 12337.005  5294.038   802.282
  424     0.230     0.459     0.312 12337.005  3766.808  5407.231
  425     0.101     0.420     0.479 12337.005   426.115  7970.796
  426     0.496     0.076     0.428 12337.005  1447.314    78.726
  427     0.411     0.220     0.368 12337.005  2631.978  1771.378
  428     0.348     0.202     0.451 12337.005   986.603  3048.568
  429     0.469     0.260     0.270 12337.005  4593.400   611.319
  430     0.464     0.286     0.250 12337.005  4992.942   725.945
  431     0.216     0.409     0.374 12337.005  2516.244  5670.857
  432     0.211     0.432     0.358 12337.005  2843.184  5787.785
  433     0.431     0.381     0.187 12337.005  6252.701  1370.241
  434     0.216     0.435     0.348 12337.005  3035.712  5672.021
  435     0.461     0.483     0.056 12337.005  8876.101   778.456
  436     0.333     0.295     0.372 12337.005  2564.529  3330.902
  437     0.494     0.260     0.247 12337.005  5068.907   126.456
  438     0.328     0.391     0.282 12337.005  4362.392  3449.570
  439     0.272     0.369     0.360 12337.005  2808.547  4563.627
  440     0.342     0.463     0.195 12337.005  6094.415  3156.353
  441     0.174     0.467     0.359 12337.005  2826.429  6515.727
  442     0.427     0.315     0.257 12337.005  4852.068  1450.291
  443     0.347     0.463     0.190 12337.005  6196.965  3065.269
  444     0.192     0.438     0.370 12337.005  2595.843  6163.680
  445     0.084     0.480     0.436 12337.005  1276.250  8328.676
  446     0.209     0.384     0.407 12337.005  1861.333  5812.396
  447     0.493     0.492     0.015 12337.005  9705.797   136.626
  448     0.239     0.466     0.295 12337.005  4099.211  5215.961
  449     0.382     0.396     0.222 12337.005  5555.844  2362.140
  450     0.331     0.275     0.394 12337.005  2122.965  3370.125
  451     0.352     0.432     0.216 12337.005  5673.327  2958.856
  452     0.335     0.372     0.293 12337.005  4135.604  3305.872
  453     0.467     0.194     0.339 12337.005  3223.635   658.091
  454     0.332     0.200     0.468 12337.005   643.780  3352.594
  455     0.161     0.386     0.453 12337.005   933.214  6781.700
  456     0.478     0.058     0.464 12337.005   720.041   433.452
  457     0.378     0.329     0.293 12337.005  4140.636  2445.218
  458     0.152     0.404     0.444 12337.005  1122.054  6965.186
  459     0.471     0.318     0.211 12337.005  5779.873   584.152
  460     0.035     0.476     0.489 12337.005   222.631  9291.458
  461     0.414     0.184     0.402 12337.005  1964.429  1721.215
  462     0.315     0.391     0.295 12337.005  4106.230  3706.013
  463     0.300     0.260     0.440 12337.005  1206.638  3993.477
  464     0.436     0.411     0.153 12337.005  6948.626  1276.109
  465     0.426     0.229     0.345 12337.005  3095.289  1481.994
  466     0.245     0.398     0.358 12337.005  2845.512  5108.616
  467     0.080     0.448     0.472 12337.005   554.621  8399.450
